	tweet
0	#Who Is Q# #Wheres The Server# #Dump Nike# #DECLASFISA# Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #Lock Them All Up# #WWG 1 WGA# #Q Anon# ⁦@USER URL
1	#No Pasaran#: Unity demo to oppose the far-right in #London# – #antifa# #Oct 13# — Enough is Enough! URL
2	. . . What the fuck did he do this time?
3	@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?
4	@USER Nigga ware da hits at
5	#Stop Kavanaugh# he is liar like the rest of the #GOP# URL
6	"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!"""
7	@ ALL FAMILY/FRIENDS , do not tell me bad shit that your bf/gf did to you just to go right back to them!!!
8	#Christine Blasey Ford# is your #Kavanaugh# accuser... #Liberals# try this EVERY time... #Confirm Judge Kavanaugh# URL
9	#Ariana Asesina#? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.
10	@USER How is she hiding her ugly personality. She is the worst.
11	......bitch what URL
12	@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns. Some probably illegal too. CA needs more gun control. But don’t worry about the actual crime. The pic of black guns is worse.
13	#Conservatives# @USER - You're a clown! URL
14	*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”
15	#Kids# Beating #Paraplegic# #Trump# #Boy#! #Left# Teach Their #Children# Hate Violence! #schools# #teachers# #Democrats# #Liberals# #Walk Away# #Moms# #Mother# #NEA# #teach them young# #Christian# #Catholic# #Jews# #Evangelicals# #family# #Black Women# #Black Twitter# #Blacks# #News# #Media# #Disabled# #MAGA# URL
16	*gets all the bitches*
17	#Antifa#: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL
18	@USER omg is he for real ?!?!!??????) this happened in peru like <number> years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-
19	#Conservatism 101# It's not about our disagreements with #Conservatives#. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. URL
20	And apparently I'm committed to going to a new level since I used the key. Well FUCK. Curiosity killed the Cat(hy)
21	@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia? Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control! What good did that do?! You’re full of crap.
22	#ANTIFA# are bedfellows with The Democratic Socialists of America (DSA) who #James O Keefe# has exposed as being inserted throughout government, attempting to bring down #America# #Trump# #MAGA#:United_States: #Deep State# URL
23	@USER Antifa has TS level influence. It's scary.
24	@USER I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.
25	#Liberals# are so pathetic! INNOCENT UNTIL PROVEN GUILTY mean much? #Democrats# should look at their own party if they need a rapist to hang! #Kavanaugh Is Innocent# #Walk Away From Democrats#. #Liberal Lies# are straight from the Pitts of HELL :fire: URL
26	$ <number> Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL
27	#Fortnite Battle Royale# #Xbox Share# @USER Please ban this cheating scum. he is literally invisible URL
28	#Sesame Street# #Bertand Ernie# the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.
29	#Serena Williams# is so full of herself...she is just as painful to watch as to listen to...
30	#Colin Kapernaeck# has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.
31	. JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS . URL
32	Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL
33	@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?
34	#Conservatives# Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers? URL
35	#Fortnite Battle Royale# #Xbox Share# @USER Please ban this cheating scum. he is literally invisible URL
36	#MAGA# #Qanon# #Great Awakening# #inners# #WWG 1 WGA# #Now Comes The Pain# #Walk Away# #Goodbye Democrats# Ellison Accuser Says She's Been Sidelined By Her Own Party URL
37	#Boycott NFL# .@USER You are dead to me. @USER @USER URL
38	@USER #Walk Away From All Democrats# Michelle was there <number> years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's #MAGA#. Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL
39	#Blasey Ford# It’s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to Ford testifying they say it’s unfair to have more men asking her questions. Which is it Dems are women equal or should we receive special treatment?
40	#Ted# always has a feel for the most appropriate public behavior. But, often, he is unable to control himself. #GOP Dysfunction# URL
41	@USER Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!
42	@USER #Holder# needed to be impeached
43	#Believe All Women# just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture
44	#Sierra Burgess Is A Loser# She is me when my phone dings :face_with_tears_of_joy:
45	@USER #me too# are all racist!
